127.0.0.1 - - [03/Sep/2026:15:56:48 +0530] "GET / HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:56:55 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:56:55 +0530] "GET /favicon.ico HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:57:07 +0530] "GET /ORSProject-04/RoleCtl HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:57:37 +0530] "POST /ORSProject-04/RoleCtl HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:58:07 +0530] "POST /ORSProject-04/RoleCtl HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:58:17 +0530] "GET /ORSProject-04/RoleListCtl HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:59:53 +0530] "GET /ORSProject-04/RoleListCtl HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:59:55 +0530] "GET /ORSProject-04/RoleListCtl HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:59:55 +0530] "GET /ORSProject-04/RoleListCtl HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [03/Sep/2026:15:59:59 +0530] "GET /ORSProject-04/RoleListCtl HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [03/Sep/2026:16:00:33 +0530] "POST /ORSProject-04/RoleListCtl HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [03/Sep/2026:16:00:48 +0530] "POST /ORSProject-04/RoleListCtl HTTP/1.1" 200 2555
